game_date,player_name,team,opponent,minutes,points,rebounds,assists,field_goals_attempted,field_goals_made,three_pa,three_pm,free_throws_attempted,free_throws_made
2024-01-01,Bam Adebayo,Clippers,Bucks,30.7,11,3.1,2.8,9,3,4,1,6,4
2024-01-01,Jalen Green,Suns,Bucks,24.0,10,3.5,2.6,9,3,5,1,2,1
2024-01-01,Isaiah Todd,Raptors,Spurs,15.9,4,3.6,3.6,3,1,1,0,4,2
2024-01-01,Jaren Jackson Jr.,Heat,Nets,25.9,16,5.4,3.0,14,6,4,1,2,1
2024-01-01,Devonte Graham,Suns,Bucks,12.6,3,5.2,2.5,3,1,0,0,2,1
2024-01-01,Jevon Carter,Clippers,Cavaliers,18.4,5,2.3,2.0,4,1,0,0,2,1
2024-01-01,Keita Bates-Diop,Celtics,Suns,18.9,10,1.7,0.8,8,3,5,1,1,0
2024-01-01,Evan Mobley,Nuggets,Lakers,27.3,14,4.5,3.0,9,4,4,1,5,3
2024-01-01,Kevin Durant,Mavericks,Suns,33.8,39,5.4,8.5,25,12,8,2,11,9
2024-01-01,Josh Giddey,Celtics,Spurs,31.7,14,5.8,2.4,10,4,4,1,4,3
2024-01-01,Yuta Watanabe,Cavaliers,Celtics,7.6,3,2.1,3.9,3,1,2,0,3,1
2024-01-02,Derrick White,Nets,Heat,33.4,15,6.0,2.8,10,4,5,1,3,2
2024-01-02,Keldon Johnson,Spurs,Nets,28.0,17,4.6,6.0,13,5,4,1,6,4
2024-01-02,Giannis Antetokounmpo,Warriors,Bucks,31.9,40,10.4,9.8,20,9,12,4,12,10
2024-01-02,Boban Marjanovic,Lakers,Suns,19.3,9,5.3,3.0,3,1,4,1,3,2
2024-01-02,Giannis Antetokounmpo,Warriors,Raptors,32.6,33,7.5,9.1,15,7,12,5,4,3
2024-01-02,DeMar DeRozan,Raptors,Spurs,26.0,12,3.9,3.4,15,6,2,0,1,0
2024-01-02,Jaylen Brown,Cavaliers,76ers,36.8,28,5.5,8.2,15,7,9,3,4,3
2024-01-02,Caris LeVert,76ers,Nuggets,30.1,17,4.0,5.4,13,6,4,1,3,2
2024-01-03,Bobby Portis,76ers,Suns,24.9,10,3.1,5.9,12,4,4,1,2,1
2024-01-03,Luka Doncic,76ers,Heat,33.8,35,5.8,7.2,20,9,9,3,11,8
2024-01-03,Giannis Antetokounmpo,Heat,Bucks,36.1,41,11.6,9.1,20,10,10,4,11,9
2024-01-03,Kevin Durant,Spurs,Cavaliers,34.7,41,9.2,4.8,23,12,10,3,11,8
2024-01-03,Khris Middleton,Warriors,Heat,28.1,11,3.9,4.7,11,4,5,1,1,0
2024-01-03,Jamal Murray,Spurs,Bulls,24.4,17,4.1,4.9,14,6,5,1,3,2
2024-01-03,Michael Porter Jr.,Bucks,Nuggets,23.6,9,6.9,5.4,9,3,4,1,1,0
2024-01-03,Frank Ntilikina,Heat,Clippers,13.7,7,5.7,2.3,8,3,2,0,2,1
2024-01-03,Theo Pinson,76ers,Mavericks,20.6,6,2.7,1.4,6,2,0,0,2,1
2024-01-03,Thanasis Antetokounmpo,Spurs,Suns,17.6,9,6.0,0.7,7,2,3,1,3,2
2024-01-04,Klay Thompson,Heat,Nets,27.4,15,3.1,4.9,14,6,5,1,1,0
2024-01-04,Joe Ingles,Raptors,Mavericks,10.5,2,4.4,2.7,4,1,0,0,1,0
2024-01-04,Luka Doncic,Suns,Mavericks,35.5,31,11.8,7.9,17,9,7,2,10,7
2024-01-04,Bradley Beal,Warriors,Lakers,30.3,12,5.8,4.5,11,4,5,1,2,1
2024-01-04,Richaun Holmes,Warriors,Bulls,17.7,7,4.5,1.0,8,3,2,0,2,1
2024-01-04,LaMelo Ball,Warriors,Lakers,28.0,7,6.2,5.2,9,3,2,0,4,3
2024-01-04,Cam Johnson,Raptors,Bucks,22.6,16,3.4,2.5,10,4,7,2,3,2
2024-01-04,Jusuf Nurkic,Mavericks,Cavaliers,27.8,9,4.9,3.3,8,3,2,0,4,3
2024-01-05,Jonas Valanciunas,Heat,Warriors,29.2,16,7.8,2.5,13,5,6,2,3,2
2024-01-05,Leaky Black,Clippers,Celtics,15.1,8,5.8,1.1,9,4,3,0,1,0
2024-01-05,Jalen Green,Clippers,Raptors,28.4,18,3.1,3.7,12,5,7,2,3,2
2024-01-05,Jamal Murray,Spurs,Mavericks,25.5,12,7.8,3.0,10,4,2,0,6,4
2024-01-05,Mikal Bridges,Nuggets,Suns,29.2,12,3.6,4.0,11,4,5,1,2,1
2024-01-05,Devonte Graham,Heat,Bulls,12.4,13,3.3,1.1,10,4,5,1,2,1
2024-01-05,Myles Turner,Bulls,Heat,24.5,16,6.4,5.1,11,5,6,1,6,4
2024-01-05,Kristaps Porzingis,Mavericks,Nets,27.7,16,7.5,2.4,8,3,6,2,6,4
2024-01-05,Cole Anthony,Raptors,Clippers,29.3,18,3.4,5.1,14,6,6,2,3,2
2024-01-05,Jeremy Sochan,Bulls,Spurs,10.3,4,5.0,0.4,7,2,1,0,0,0
